feature,mean_abs_shap,segment,horizon
avg_inter_attack_interval,0.28855417120011445,infra1_thr1,7d
month,0.19028457519589637,infra1_thr1,7d
days_since_last_success,0.07405319787060505,infra1_thr1,7d
succ_30d_sum,0.07270732101739573,infra1_thr1,7d
day_of_month,0.07150017460812677,infra1_thr1,7d
days_since_last_incident,0.07024845723788241,infra1_thr1,7d
inc_30d_sum,0.04664477430224945,infra1_thr1,7d
streak_quiet_days,0.03780356980486802,infra1_thr1,7d
attack_rate_trend,0.033907855191595726,infra1_thr1,7d
type_inc_30d_sum,0.023873125219953995,infra1_thr1,7d
type_inc_7d_sum,0.021236227103069785,infra1_thr1,7d
inc_7d_sum,0.019991690105964275,infra1_thr1,7d
success_ratio_7d,0.012338782798358067,infra1_thr1,7d
succ_7d_sum,0.006996547610679007,infra1_thr1,7d
day_of_week,0.003973839693308055,infra1_thr1,7d
had_incident_prev_3d,0.003254221416363034,infra1_thr1,7d
inc_3d_sum,0.003062659837239106,infra1_thr1,7d
lag_inc_1d,0.0,infra1_thr1,7d
had_incident_prev_1d,0.0,infra1_thr1,7d
had_incident_prev_7d,0.0,infra1_thr1,7d
streak_active_days,0.0,infra1_thr1,7d
